coordinate	Rho	T	section	type	//
-26125000.0	6.343564349711879e-13	988659.5843452122	1.0	0.0
-26000000.0	6.327548501404043e-13	990230.397144269	1.0	0.0
-25875000.0	6.312017870526386e-13	991750.4727343662	1.0	0.0
-25750000.0	6.296948137573957e-13	993222.6241327161	1.0	0.0
-25625000.0	6.282312908990544e-13	994649.8614343838	1.0	0.0
-25500000.0	6.268088582713989e-13	996034.900802836	1.0	0.0
-25375000.0	6.25425230123904e-13	997380.3708879526	1.0	0.0
-25250000.0	6.24078008066253e-13	998688.9965062905	1.0	0.0
-25125000.0	6.227651630554085e-13	999963.2505053612	1.0	0.0
-25000000.0	6.21484436431537e-13	1001205.9340076735	1.0	0.0
-24875000.0	6.202338550929227e-13	1002418.227961616	1.0	0.0
-24750000.0	6.190115010377238e-13	1003603.0017751427	1.0	0.0
-24625000.0	6.178154298151923e-13	1004763.4816142591	1.0	0.0
-24500000.0	6.166436658414171e-13	1005899.9291775421	1.0	0.0
-24375000.0	6.154946938485313e-13	1007016.4280245927	1.0	0.0
-24250000.0	6.143665673186281e-13	1008113.31670851	1.0	0.0
-24125000.0	6.132578885931982e-13	1009192.3015546525	1.0	0.0
-24000000.0	6.121667721788108e-13	1010256.3300116517	1.0	0.0
-23875000.0	6.110919354873277e-13	1011306.6422324006	1.0	0.0
-23750000.0	6.100318288862047e-13	1012344.5161141062	1.0	0.0
-23625000.0	6.089849743440173e-13	1013372.7232635854	1.0	0.0
-23500000.0	6.079500184041926e-13	1014391.9899510468	1.0	0.0
-23375000.0	6.069257107582913e-13	1015403.3996373687	1.0	0.0
-23250000.0	6.059108142544125e-13	1016408.9463810931	1.0	0.0
-23125000.0	6.049040832361652e-13	1017409.3767022254	1.0	0.0
-23000000.0	6.03904193807463e-13	1018407.0928799952	1.0	0.0
-22875000.0	6.029101456246285e-13	1019402.535167583	1.0	0.0
-22750000.0	6.019273558342387e-13	1020389.6459177228	1.0	0.0
-22625000.0	6.009628140146284e-13	1021359.1297539477	1.0	0.0
-22500000.0	6.000171585354461e-13	1022311.2455671416	1.0	0.0
-22375000.0	5.990896310774849e-13	1023246.4953208738	1.0	0.0
-22250000.0	5.981802507459557e-13	1024164.0813750954	1.0	0.0
-22125000.0	5.972885344510419e-13	1025065.2362541669	1.0	0.0
-22000000.0	5.964143266060118e-13	1025949.9943962585	1.0	0.0
-21875000.0	5.955572663056486e-13	1026818.7293776989	1.0	0.0
-21750000.0	5.947171487599953e-13	1027670.9233425544	1.0	0.0
-21625000.0	5.938937351408708e-13	1028507.1483120532	1.0	0.0
-21500000.0	5.930867650653393e-13	1029328.0680361172	1.0	0.0
-21375000.0	5.922959701128856e-13	1030133.8181929885	1.0	0.0
-21250000.0	5.915210325217612e-13	1030924.6991938265	1.0	0.0
-21125000.0	5.9076178447969e-13	1031700.0370229537	1.0	0.0
-21000000.0	5.900179340463017e-13	1032461.2355107585	1.0	0.0
-20875000.0	5.89289227776227e-13	1033208.4842279454	1.0	0.0
-20750000.0	5.885754971842711e-13	1033940.8643837164	1.0	0.0
-20625000.0	5.878765011557779e-13	1034659.4361612397	1.0	0.0
-20500000.0	5.871919175066731e-13	1035364.5840810534	1.0	0.0
-20375000.0	5.865216223838149e-13	1036055.779115194	1.0	0.0
-20250000.0	5.858654026090029e-13	1036733.3642643717	1.0	0.0
-20125000.0	5.852228466760874e-13	1037398.7282855848	1.0	0.0
-20000000.0	5.845939374933732e-13	1038050.7939666618	1.0	0.0
-19875000.0	5.839784165114118e-13	1038689.7937233931	1.0	0.0
-19750000.0	5.833759854679193e-13	1039316.5569078062	1.0	0.0
-19625000.0	5.827865196958651e-13	1039931.1268781166	1.0	0.0
-19500000.0	5.822097469648522e-13	1040533.1701798766	1.0	0.0
-19375000.0	5.816454638873254e-13	1041122.8825615051	1.0	0.0
-19250000.0	5.810935236626121e-13	1041701.0789566684	1.0	0.0
-19125000.0	5.805537264772957e-13	1042268.6106334014	1.0	0.0
-19000000.0	5.800258025289165e-13	1042824.1925384853	1.0	0.0
-18875000.0	5.795095819277731e-13	1043367.6729817833	1.0	0.0
-18750000.0	5.790049833448824e-13	1043900.9076686231	1.0	0.0
-18625000.0	5.785116499813753e-13	1044423.7082996648	1.0	0.0
-18500000.0	5.780294001518563e-13	1044935.5793398839	1.0	0.0
-18375000.0	5.775582047591497e-13	1045436.4862545349	1.0	0.0
-18250000.0	5.770977687000875e-13	1045927.0397784871	1.0	0.0
-18125000.0	5.766478902968712e-13	1046407.5689763933	1.0	0.0
-18000000.0	5.762084572152387e-13	1046878.1287341367	1.0	0.0
-17875000.0	5.757792383335681e-13	1047338.9942773081	1.0	0.0
-17750000.0	5.75360052315903e-13	1047790.1272039865	1.0	0.0
-17625000.0	5.749507757178147e-13	1048231.3067668895	1.0	0.0
-17500000.0	5.745512463447241e-13	1048662.8855158982	1.0	0.0
-17375000.0	5.741612719634147e-13	1049085.5305427331	1.0	0.0
-17250000.0	5.737806480331315e-13	1049499.8598839901	1.0	0.0
-17125000.0	5.734092376759611e-13	1049904.9477343825	1.0	0.0
-17000000.0	5.73046910113577e-13	1050300.3119108288	1.0	0.0
