Rho	T	coordinate	section	type	//
6.811208E-13	9.408457E+05	7.850000E+06	1.000000E+00	0.000000E+00
6.786236E-13	9.434654E+05	7.900000E+06	1.000000E+00	0.000000E+00
6.761569E-13	9.460567E+05	7.950000E+06	1.000000E+00	0.000000E+00
6.737226E-13	9.486155E+05	8.000000E+06	1.000000E+00	0.000000E+00
6.713226E-13	9.511377E+05	8.050000E+06	1.000000E+00	0.000000E+00
6.689591E-13	9.536192E+05	8.100000E+06	1.000000E+00	0.000000E+00
6.666337E-13	9.560560E+05	8.150000E+06	1.000000E+00	0.000000E+00
6.643486E-13	9.584440E+05	8.200000E+06	1.000000E+00	0.000000E+00
6.621056E-13	9.607792E+05	8.250000E+06	1.000000E+00	0.000000E+00
6.599067E-13	9.630574E+05	8.300000E+06	1.000000E+00	0.000000E+00
6.577539E-13	9.652747E+05	8.350000E+06	1.000000E+00	0.000000E+00
6.556490E-13	9.674269E+05	8.400000E+06	1.000000E+00	0.000000E+00
6.535940E-13	9.695100E+05	8.450000E+06	1.000000E+00	0.000000E+00
6.515909E-13	9.715280E+05	8.500000E+06	1.000000E+00	0.000000E+00
6.496394E-13	9.734889E+05	8.550000E+06	1.000000E+00	0.000000E+00
6.477378E-13	9.753946E+05	8.600000E+06	1.000000E+00	0.000000E+00
6.458846E-13	9.772469E+05	8.650000E+06	1.000000E+00	0.000000E+00
6.440783E-13	9.790476E+05	8.700000E+06	1.000000E+00	0.000000E+00
6.423173E-13	9.807988E+05	8.750000E+06	1.000000E+00	0.000000E+00
6.406000E-13	9.825021E+05	8.800000E+06	1.000000E+00	0.000000E+00
6.389248E-13	9.841596E+05	8.850000E+06	1.000000E+00	0.000000E+00
6.372903E-13	9.857730E+05	8.900000E+06	1.000000E+00	0.000000E+00
6.356949E-13	9.873442E+05	8.950000E+06	1.000000E+00	0.000000E+00
6.341369E-13	9.888751E+05	9.000000E+06	1.000000E+00	0.000000E+00
6.326149E-13	9.903675E+05	9.050000E+06	1.000000E+00	0.000000E+00
6.311272E-13	9.918234E+05	9.100000E+06	1.000000E+00	0.000000E+00
6.296724E-13	9.932445E+05	9.150000E+06	1.000000E+00	0.000000E+00
6.282488E-13	9.946328E+05	9.200000E+06	1.000000E+00	0.000000E+00
6.268549E-13	9.959901E+05	9.250000E+06	1.000000E+00	0.000000E+00
6.254892E-13	9.973182E+05	9.300000E+06	1.000000E+00	0.000000E+00
6.241500E-13	9.986191E+05	9.350000E+06	1.000000E+00	0.000000E+00
6.228359E-13	9.998946E+05	9.400000E+06	1.000000E+00	0.000000E+00
